scenario,packetLoss,maxSpeed,repetition,warningTime,collisionTime,predictedTurn
WaveDelay,0.0,12.8,4,24.093720190681,26,1
WaveDelay,0.0,12.8,5,24.010609626963,26,1
WaveDelay,0.0,12.8,6,24.048479931171,26,1
WaveDelay,0.0,12.8,7,24.043252679969,26,1
WaveDelay,0.0,12.8,8,24.087479971226,26,1
WaveDelay,0.0,12.8,9,24.034192898751,26,1
WaveDelay,0.0,13.1,0,23.633383823028,25.7,1
WaveDelay,0.0,13.1,1,23.654001895608,25.7,1
WaveDelay,0.0,13.1,10,23.659825935765,25.7,1
WaveDelay,0.0,13.1,11,23.652506928905,25.7,1
WaveDelay,0.0,13.1,12,23.678494010585,25.7,1
WaveDelay,0.0,13.1,13,23.617666735612,25.7,1
WaveDelay,0.0,13.1,14,23.666392149635,25.7,1
WaveDelay,0.0,13.1,15,23.602846635807,25.7,1
WaveDelay,0.0,13.1,16,23.689064202967,25.7,1
WaveDelay,0.0,13.1,17,23.673333024555,25.7,1
WaveDelay,0.0,13.1,18,23.638350981234,25.7,1
WaveDelay,0.0,13.1,19,23.68360425886,25.7,1
WaveDelay,0.0,13.1,2,23.675440146503,25.7,1
WaveDelay,0.0,13.1,20,23.651102983016,25.7,1
WaveDelay,0.0,13.1,21,23.600727726329,25.7,1
WaveDelay,0.0,13.1,22,23.653624953897,25.7,1
WaveDelay,0.0,13.1,23,23.603379689562,25.7,1
WaveDelay,0.0,13.1,24,23.679184205393,25.7,1
WaveDelay,0.0,13.1,25,23.632590935831,25.7,1
WaveDelay,0.0,13.1,26,23.615066809344,25.7,1
WaveDelay,0.0,13.1,27,23.642353942153,25.7,1
WaveDelay,0.0,13.1,28,23.649141117574,25.7,1
WaveDelay,0.0,13.1,29,23.639417023594,25.7,1
WaveDelay,0.0,13.1,3,23.635125773112,25.7,1
WaveDelay,0.0,13.1,4,23.699763165059,25.7,1
WaveDelay,0.0,13.1,5,23.65664089113,25.7,1
WaveDelay,0.0,13.1,6,23.692288164891,25.7,1
WaveDelay,0.0,13.1,7,23.637244824733,25.7,1
WaveDelay,0.0,13.1,8,23.622060747851,25.7,1
WaveDelay,0.0,13.1,9,23.61905768796,25.7,1
WaveDelay,0.0,13.4,0,23.309758250284,25.4,1
WaveDelay,0.0,13.4,1,23.32234356129,25.4,1
WaveDelay,0.0,13.4,10,23.31926137664,25.4,1
WaveDelay,0.0,13.4,11,23.320119337959,25.4,1
WaveDelay,0.0,13.4,12,23.390281742009,25.4,1
WaveDelay,0.0,13.4,13,23.389046775514,25.4,1
WaveDelay,0.0,13.4,14,23.360757511245,25.4,1
WaveDelay,0.0,13.4,15,23.378334777213,25.4,1
WaveDelay,0.0,13.4,16,23.346042610187,25.4,1
WaveDelay,0.0,13.4,17,23.346171489437,25.4,1
WaveDelay,0.0,13.4,18,23.380674769205,25.4,1
WaveDelay,0.0,13.4,19,23.339398466134,25.4,1
WaveDelay,0.0,13.4,2,23.357170687357,25.4,1
WaveDelay,0.0,13.4,20,23.326802579812,25.4,1
WaveDelay,0.0,13.4,21,23.393973967333,25.4,1
WaveDelay,0.0,13.4,22,23.313125265921,25.4,1
WaveDelay,0.0,13.4,23,23.395741775589,25.4,1
WaveDelay,0.0,13.4,24,23.392868843257,25.4,1
WaveDelay,0.0,13.4,25,23.335668605564,25.4,1
WaveDelay,0.0,13.4,26,23.342740670775,25.4,1
WaveDelay,0.0,13.4,27,23.396626005173,25.4,1
WaveDelay,0.0,13.4,28,23.373784800185,25.4,1
WaveDelay,0.0,13.4,29,23.396430772748,25.4,1
WaveDelay,0.0,13.4,3,23.382637756321,25.4,1
WaveDelay,0.0,13.4,4,23.358599516588,25.4,1
WaveDelay,0.0,13.4,5,23.309901399506,25.4,1
WaveDelay,0.0,13.4,6,23.3423884028,25.4,1
WaveDelay,0.0,13.4,7,23.39880995628,25.4,1
WaveDelay,0.0,13.4,8,23.308796425134,25.4,1
WaveDelay,0.0,13.4,9,23.358613789806,25.4,1
WaveDelay,0.0,13.7,0,23.08762520236,25.2,1
WaveDelay,0.0,13.7,1,23.094424279393,25.2,1
WaveDelay,0.0,13.7,10,23.094567252057,25.2,1
WaveDelay,0.0,13.7,11,23.09448920183,25.2,1
WaveDelay,0.0,13.7,12,23.001615675096,25.2,1
WaveDelay,0.0,13.7,13,23.016487874659,25.2,1
WaveDelay,0.0,13.7,14,23.013432715416,25.2,1
WaveDelay,0.0,13.7,15,23.08464830172,25.2,1
WaveDelay,0.0,13.7,16,23.047065110537,25.2,1
WaveDelay,0.0,13.7,17,23.093514266799,25.2,1
WaveDelay,0.0,13.7,18,23.003409723005,25.2,1
WaveDelay,0.0,13.7,19,23.010273927204,25.2,1
WaveDelay,0.0,13.7,2,23.035807097997,25.2,1
WaveDelay,0.0,13.7,20,23.07355930991,25.2,1
WaveDelay,0.0,13.7,21,23.00049789973,25.2,1
WaveDelay,0.0,13.7,22,23.083309249415,25.2,1
WaveDelay,0.0,13.7,23,23.006451672072,25.2,1
WaveDelay,0.0,13.7,24,23.041083931918,25.2,1
WaveDelay,0.0,13.7,25,23.042229049014,25.2,1
WaveDelay,0.0,13.7,26,23.034453923186,25.2,1
WaveDelay,0.0,13.7,27,23.003201904649,25.2,1
WaveDelay,0.0,13.7,28,23.071388274149,25.2,1
WaveDelay,0.0,13.7,29,23.095347301699,25.2,1
WaveDelay,0.0,13.7,3,23.002395673044,25.2,1
WaveDelay,0.0,13.7,4,23.060702257155,25.2,1
WaveDelay,0.0,13.7,5,23.036455918177,25.2,1
WaveDelay,0.0,13.7,6,23.08740434267,25.2,1
WaveDelay,0.0,13.7,7,23.015850726258,25.2,1
WaveDelay,0.0,13.7,8,23.070998320309,25.2,1
WaveDelay,0.0,13.7,9,23.081918335358,25.2,1
WaveDelay,0.0,14,0,22.703339984579,24.9,1
WaveDelay,0.0,14,1,22.728118276831,24.9,1
WaveDelay,0.0,14,10,22.757537342556,24.9,1
WaveDelay,0.0,14,11,22.728651274549,24.9,1
WaveDelay,0.0,14,12,22.799528799436,24.9,1
WaveDelay,0.0,14,13,22.784591537932,24.9,1
WaveDelay,0.0,14,14,22.738635354367,24.9,1
WaveDelay,0.0,14,15,22.768900484719,24.9,1
WaveDelay,0.0,14,16,22.744837451542,24.9,1
WaveDelay,0.0,14,17,22.780821533092,24.9,1
WaveDelay,0.0,14,18,22.700428176261,24.9,1
WaveDelay,0.0,14,19,22.722203149068,24.9,1
WaveDelay,0.0,14,2,22.733124407962,24.9,1
WaveDelay,0.0,14,20,22.734098266378,24.9,1
WaveDelay,0.0,14,21,22.738857416291,24.9,1
WaveDelay,0.0,14,22,22.761555528972,24.9,1
WaveDelay,0.0,14,23,22.789609718085,24.9,1
WaveDelay,0.0,14,24,22.76414137565,24.9,1
WaveDelay,0.0,14,25,22.701351107668,24.9,1
WaveDelay,0.0,14,26,22.749959469415,24.9,1
WaveDelay,0.0,14,27,22.78487761016,24.9,1
WaveDelay,0.0,14,28,22.72393216006,24.9,1
WaveDelay,0.0,14,29,22.715521078826,24.9,1
WaveDelay,0.0,14,3,22.767443421254,24.9,1
WaveDelay,0.0,14,4,22.729561238394,24.9,1
WaveDelay,0.0,14,5,22.748997534966,24.9,1
WaveDelay,0.0,14,6,22.789713701325,24.9,1
WaveDelay,0.0,14,7,22.797175751576,24.9,1
WaveDelay,0.0,14,8,22.702950117577,24.9,1
WaveDelay,0.0,14,9,22.725388226552,24.9,1
WaveDelay,0.0,14.3,0,22.433521525951,24.7,1
WaveDelay,0.0,14.3,1,22.498640022231,24.7,1
WaveDelay,0.0,14.3,10,22.423017530074,24.7,1
WaveDelay,0.0,14.3,11,22.495025780821,24.7,1
WaveDelay,0.0,14.3,12,22.47283365613,24.7,1
WaveDelay,0.0,14.3,13,22.493478877278,24.7,1
WaveDelay,0.0,14.3,14,22.459703570355,24.7,1
WaveDelay,0.0,14.3,15,22.440892499309,24.7,1
WaveDelay,0.0,14.3,16,22.44601447295,24.7,1
WaveDelay,0.0,14.3,17,22.467542637894,24.7,1
WaveDelay,0.0,14.3,18,22.459392833569,24.7,1
WaveDelay,0.0,14.3,19,22.467672653805,24.7,1
WaveDelay,0.0,14.3,2,22.473614811816,24.7,1
WaveDelay,0.0,14.3,20,22.426722360372,24.7,1
WaveDelay,0.0,14.3,21,22.478554903991,24.7,1
WaveDelay,0.0,14.3,22,22.443636665986,24.7,1
WaveDelay,0.0,14.3,23,22.442414650888,24.7,1
WaveDelay,0.0,14.3,24,22.458131743384,24.7,1
WaveDelay,0.0,14.3,25,22.472106817954,24.7,1
WaveDelay,0.0,14.3,26,22.414983371466,24.7,1
WaveDelay,0.0,14.3,27,22.497885891715,24.7,1
WaveDelay,0.0,14.3,28,22.419014607446,24.7,1
WaveDelay,0.0,14.3,29,22.403088288995,24.7,1
WaveDelay,0.0,14.3,3,22.499185840772,24.7,1
WaveDelay,0.0,14.3,4,22.487810996335,24.7,1
WaveDelay,0.0,14.3,5,22.470429905692,24.7,1
